GPU,Graphics Processing,,,,
,Core Clock,,,,
,CUDA® Cores,,,,
Memory Clock,Memory Clock,,,,
Memory Size,Memory Size,,,,
,Memory Type,,,,
Memory Bandwidth,Memory Bandwidth (GB/sec),,,,
Multi-view,Multi-view,,,,
Card size,Card size,,,,
,PCB Form,,,,
Recommended PSU,Recommended PSU,,,,
Power Connectors,Power Connectors,,,,
Output,Output,,,,
Accessories,Accessories,,,,
,Fitting type,,,,
RTX-OPS,RTX-OPS,,,,
RGB light,RGB light,,,,
Radiator,Radiator,,,,
I/O,I/O,,,,
,Process Technology,,,,
,Form Factor,,,,
,Analog max resolution,,,,
,Memory Bus,,,,
,Card Bus,,,,
,Digital max resolution,,,,
,DirectX,,,,
,OpenGL,,,,
,SLI Support,,,,
,Tube length,,,,
,Fan,,,,
,NVIDIA Encoder (NVENC),,,,
